COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
     900179     1873    9P              Tempel 1               
     900180     1879    9P              Tempel 1               
     900181     1967    9P              Tempel 1               
     900182     1972    9P              Tempel 1               
     900183     1978    9P              Tempel 1               
     900184     1983    9P              Tempel 1               
     900185     1988    9P              Tempel 1               
     900186     1994    9P              Tempel 1               
     900187     2006    9P              Tempel 1               
     900188     2009    9P              Tempel 1               
     900189     2010    9P              Tempel 1               
     900190     1873    10P             Tempel 2               
     900191     1878    10P             Tempel 2               
     900192     1894    10P             Tempel 2               
     900193     1899    10P             Tempel 2               
     900194     1904    10P             Tempel 2               
     900195     1915    10P             Tempel 2               
     900196     1920    10P             Tempel 2               
     900197     1925    10P             Tempel 2               
     900198     1930    10P             Tempel 2               
     900199     1946    10P             Tempel 2               
     900200     1951    10P             Tempel 2               
     900201     1957    10P             Tempel 2               
     900202     1962    10P             Tempel 2               
     900203     1967    10P             Tempel 2               
     900204     1972    10P             Tempel 2               
     900205     1978    10P             Tempel 2               
     900206     1983    10P             Tempel 2               
     900207     1988    10P             Tempel 2               
     900208     1994    10P             Tempel 2               
     900209     1999    10P             Tempel 2               
     900210     2003    10P             Tempel 2               
     900211     1869    11P             Tempel-Swift-LINEAR    
     900212     1880    11P             Tempel-Swift-LINEAR    
     900213     1891    11P             Tempel-Swift-LINEAR    
     900214     1908    11P             Tempel-Swift-LINEAR    
     900215     2002    11P             Tempel-Swift-LINEAR    
     900216     1812    12P             Pons-Brooks            
     900217     1884    12P             Pons-Brooks            
     900218     1954    12P             Pons-Brooks            
     900219     1815    13P             Olbers                 
     900220     1887    13P             Olbers                 
     900221     1956    13P             Olbers                 
     900222     1884    14P             Wolf                   
     900223     1891    14P             Wolf                   
     900224     1898    14P             Wolf                   
     900225     1912    14P             Wolf                   
     900226     1919    14P             Wolf                   
     900227     1925    14P             Wolf                   
     900228     1934    14P             Wolf                   
     900229     1942    14P             Wolf                   
     900230     1950    14P             Wolf                   
     900231     1959    14P             Wolf                   
     900232     1967    14P             Wolf                   
     900233     1976    14P             Wolf                   
     900234     1984    14P             Wolf                   
     900235     1992    14P             Wolf                   
     900236     2000    14P             Wolf                   
     900237     2010    14P             Wolf                   
     900238     1886    15P             Finlay                 
     900239     1893    15P             Finlay                 
     900240     1906    15P             Finlay                 
     900241     1919    15P             Finlay                 
     900242     1926    15P             Finlay                 
     900243     1953    15P             Finlay                 
     900244     1960    15P             Finlay                 
     900245     1967    15P             Finlay                 
     900246     1974    15P             Finlay                 
     900247     1981    15P             Finlay                 
     900248     1988    15P             Finlay                 
     900249     1996    15P             Finlay                 
     900250     2009    15P             Finlay                 
     900251     1889    16P             Brooks 2               
     900252     1896    16P             Brooks 2               
     900253     1903    16P             Brooks 2               
     900254     1911    16P             Brooks 2               
     900255     1925    16P             Brooks 2               
     900256     1932    16P             Brooks 2               
     900257     1939    16P             Brooks 2               
     900258     1946    16P             Brooks 2               
     900259     1953    16P             Brooks 2               
     900260     1960    16P             Brooks 2               
     900261     1973    16P             Brooks 2               
     900262     1980    16P             Brooks 2               
     900263     1987    16P             Brooks 2               
     900264     1994    16P             Brooks 2               
     900265     2000    16P             Brooks 2               
     900266     2008    16P             Brooks 2               
     900267     1892    17P             Holmes                 
     900268     1899    17P             Holmes                 
     900269     1906    17P             Holmes                 
     900270     1964    17P             Holmes                 
     900271     1972    17P             Holmes                 
     900272     1979    17P             Holmes                 
     900273     1986    17P             Holmes                 
     900274     1993    17P             Holmes                 
     900275     2000    17P             Holmes                 
     900276     2010    17P             Holmes                 
     900277     1896    18D             Perrine-Mrkos          
     900278     1909    18D             Perrine-Mrkos          
     900279     1955    18D             Perrine-Mrkos          
     900280     1962    18D             Perrine-Mrkos          
     900281     1969    18D             Perrine-Mrkos          
     900282     1905    19P             Borrelly               
     900283     1911    19P             Borrelly               
     900284     1918    19P             Borrelly               
     900285     1925    19P             Borrelly               
     900286     1932    19P             Borrelly               
     900287     1953    19P             Borrelly               
     900288     1960    19P             Borrelly               
     900289     1967    19P             Borrelly               
     900290     1974    19P             Borrelly               
     900291     1981    19P             Borrelly               
     900292     1987    19P             Borrelly               
     900293     1994    19P             Borrelly               
     900294     2001    19P             Borrelly               
     900295     2010    19P             Borrelly               
     900296     1852    20D             Westphal               
     900297     1913    20D             Westphal               
     900298     1900    21P             Giacobini-Zinner       
     900299     1913    21P             Giacobini-Zinner       
     900300     1926    21P             Giacobini-Zinner       
     900301     1933    21P             Giacobini-Zinner       
     900302     1940    21P             Giacobini-Zinner       
     900303     1946    21P             Giacobini-Zinner       
     900304     1959    21P             Giacobini-Zinner       
     900305     1966    21P             Giacobini-Zinner       
     900306     1972    21P             Giacobini-Zinner       
     900307     1979    21P             Giacobini-Zinner       
     900308     1985    21P             Giacobini-Zinner       
     900309     1992    21P             Giacobini-Zinner       
     900310     1998    21P             Giacobini-Zinner       
     900311     2006    21P             Giacobini-Zinner       
     900312     2011    21P             Giacobini-Zinner       
     900313     1906    22P             Kopff                  
     900314     1919    22P             Kopff                  
     900315     1926    22P             Kopff                  
     900316     1932    22P             Kopff                  
     900317     1939    22P             Kopff                  
     900318     1945    22P             Kopff                  
     900319     1951    22P             Kopff                  
     900320     1958    22P             Kopff                  
     900321     1964    22P             Kopff                  
     900322     1970    22P             Kopff                  
     900323     1977    22P             Kopff                  
     900324     1983    22P             Kopff                  
     900325     1990    22P             Kopff                  
     900326     1996    22P             Kopff                  
     900327     2003    22P             Kopff                  
     900328     2010    22P             Kopff                  
     900329     1847    23P             Brorsen-Metcalf        
     900330     1919    23P             Brorsen-Metcalf        
     900331     1989    23P             Brorsen-Metcalf        
     900332     1911    24P             Schaumasse             
     900333     1919    24P             Schaumasse             
     900334     1927    24P             Schaumasse             
     900335     1943    24P             Schaumasse             
     900336     1952    24P             Schaumasse             
     900337     1960    24P             Schaumasse             
     900338     1976    24P             Schaumasse             
     900339     1984    24P             Schaumasse             
     900340     1993    24P             Schaumasse             
     900341     2001    24P             Schaumasse             
     900342     1916    25D             Neujmin 2              
     900343     1927    25D             Neujmin 2              
     900344     1808    26P             Grigg-Skjellerup       
     900345     1902    26P             Grigg-Skjellerup       
     900346     1922    26P             Grigg-Skjellerup       
     900347     1927    26P             Grigg-Skjellerup       
     900348     1932    26P             Grigg-Skjellerup       
     900349     1937    26P             Grigg-Skjellerup       
     900350     1942    26P             Grigg-Skjellerup       
     900351     1947    26P             Grigg-Skjellerup       
     900352     1952    26P             Grigg-Skjellerup       
     900353     1957    26P             Grigg-Skjellerup       
     900354     1962    26P             Grigg-Skjellerup       
