COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
     900997     2004    190P            Mueller                
     900998     2007    191P            McNaught               
     900999     2004    192P            Shoemaker-Levy 1       
     901000     2002    193P            LINEAR-NEAT            
     901001     2006    194P            LINEAR                 
     901002     2007    195P            Hill                   
     901003     2003    196P            Tichy                  
     901004     2006    197P            LINEAR                 
     901005     2002    198P            ODAS                   
     901006     2007    199P            Shoemaker 4            
     901007     2006    200P            Larsen                 
     901008     2005    201P            LONEOS                 
     901009     2005    202P            Scotti                 
     901010     2008    203P            Korlevic               
     901011     2006    204P            LINEAR-NEAT            
     901012     2008    205P            Giacobini              
     901013     2008    205P-A          Giacobini              
     901014     2008    205P-B          Giacobini              
     901015     2008    205P-C          Giacobini              
     901016     2006    206P            Barnard-Boattini       
     901017     2006    207P            NEAT                   
     901018     2008    208P            McMillan               
     901019     2006    209P            LINEAR                 
     901020     2006    210P            Christensen            
     901021     2008    211P            Hill                   
     901022     2008    212P            NEAT                   
     901023     2011    213P            Van Ness               
     901024     2011    213P-B          Van Ness               
     901025     2003    214P            LINEAR                 
     901026     2008    215P            NEAT                   
     901027     2002    216P            LINEAR                 
     901028     2008    217P            LINEAR                 
     901029     2005    218P            LINEAR                 
     901030     2008    219P            LINEAR                 
     901031     2005    220P            McNaught               
     901032     2003    221P            LINEAR                 
     901033     2007    222P            LINEAR                 
     901034     2007    223P            Skiff                  
     901035     2004    224P            LINEAR-NEAT            
     901036     2003    225P            LINEAR                 
     901037     2005    226P            Pigott-LINEAR-Kowalski 
     901038     2007    227P            Catalina-LINEAR        
     901039     2007    228P            LINEAR                 
     901040     2009    229P            Gibbs                  
     901041     2009    230P            LINEAR                 
     901042     2007    231P            LINEAR-NEAT            
     901043     2009    232P            Hill                   
     901044     2008    233P            La Sagra               
     901045     2006    234P            LINEAR                 
     901046     2006    235P            LINEAR                 
     901047     2009    236P            LINEAR                 
     901048     2006    237P            LINEAR                 
     901049     2006    238P            Read                   
     901050     2004    239P            LINEAR                 
     901051     2010    240P            NEAT                   
     901052     2008    241P            LINEAR                 
     901053     2007    242P            Spahr                  
     901054     2004    243P            NEAT                   
     901055     2006    244P            Scotti                 
     901056     2008    245P            WISE                   
     901057     2005    246P            NEAT                   
     901058     2009    247P            LINEAR                 
     901059     2010    248P            Gibbs                  
     901060     2006    249P            LINEAR                 
     901061     2010    250P            Larson                 
     901062     2004    251P            LINEAR                 
     901063     2002    252P            LINEAR                 
     901064     2011    253P            PANSTARRS              
     901065     2009    254P            McNaught               
     901066     -146    C/-146 P1       -146 P1                
     901067      -43    C/-43 K1        -43 K1                 
     901068      240    C/240 V1        240 V1                 
     901069      390    C/390 Q1        390 Q1                 
     901070      400    C/400 F1        400 F1                 
     901071      418    C/418 M1        418 M1                 
     901072      442    C/442 V1        442 V1                 
     901073      539    C/539 W1        539 W1                 
     901074      565    C/565 O1        565 O1                 
     901075      568    C/568 O1        568 O1                 
     901076      574    C/574 G1        574 G1                 
     901077      770    C/770 K1        770 K1                 
     901078      817    C/817 C1        817 C1                 
     901079      868    C/868 B1        868 B1                 
     901080      905    C/905 K1        905 K1                 
     901081      961    C/962 B1        962 B1                 
     901082     1014    C/1014 C1       1014 C1                
     901083     1018    C/1018 P1       1018 P1                
     901084     1080    C/1080 P1       1080 P1                
     901085     1092    C/1092 A1       1092 A1                
     901086     1097    C/1097 T1       1097 T1                
     901087     1110    C/1110 K1       1110 K1                
     901088     1132    C/1132 T1       1132 T1                
     901089     1147    C/1147 A1       1147 A1                
     901090     1230    C/1230 X1       1230 X1                
     901091     1240    C/1240 B1       1240 B1                
     901092     1245    C/1245 D1       1245 D1                
     901093     1264    C/1264 N1       1264 N1                
     901094     1293    C/1293 V1       1293 V1                
     901095     1299    C/1299 B1       1299 B1                
     901096     1304    C/1304 C1       1304 C1                
     901097     1305    C/1304 Y1       1304 Y1                
     901098     1315    C/1315 U1       1315 U1                
     901099     1337    C/1337 M1       1337 M1                
     901100     1340    C/1340 F1       1340 F1                
     901101     1345    C/1345 O1       1345 O1                
     901102     1351    C/1351 W1       1351 W1                
     901103     1362    C/1362 E1       1362 E1                
     901104     1368    C/1368 E1       1368 E1                
     901105     1376    C/1376 M1       1376 M1                
     901106     1385    C/1385 U1       1385 U1                
     901107     1402    C/1402 D1       1402 D1                
     901108     1433    C/1433 R1       1433 R1                
     901109     1439    C/1439 F1       1439 F1                
     901110     1449    C/1449 Y1       1449 Y1                
     901111     1457    C/1457 A1       1457 A1                
     901112     1457    C/1457 L1       1457 L1                
     901113     1458    C/1458 Y1       1458 Y1                
     901114     1462    C/1462 M1       1462 M1                
     901115     1468    C/1468 S1       1468 S1                
     901116     1472    C/1471 Y1       1471 Y1                
     901117     1490    C/1490 Y1       1490 Y1                
     901118     1499    C/1499 Q1       1499 Q1                
     901119     1500    C/1500 H1       1500 H1                
     901120     1506    C/1506 O1       1506 O1                
     901121     1532    C/1532 R1       1532 R1                
     901122     1533    C/1533 M1       1533 M1                
     901123     1537    C/1538 A1       1538 A1                
     901124     1539    C/1539 H1       1539 H1                
     901125     1556    C/1556 D1       1556 D1                
     901126     1557    C/1557 T1       1557 T1                
     901127     1558    C/1558 P1       1558 P1                
     901128     1577    C/1577 V1       1577 V1                
     901129     1580    C/1580 T1       1580 T1                
     901130     1582    C/1582 J1       1582 J1                
     901131     1585    C/1585 T1       1585 T1                
     901132     1590    C/1590 E1       1590 E1                
     901133     1593    C/1593 O1       1593 O1                
     901134     1596    C/1596 N1       1596 N1                
     901135     1618    C/1618 Q1       1618 Q1                
     901136     1618    C/1618 V1       1618 V1                
     901137     1618    C/1618 W1       1618 W1                
     901138     1639    C/1639 U1       1639 U1                
     901139     1652    C/1652 Y1       1652 Y1                
     901140     1661    C/1661 C1       1661 C1                
     901141     1664    C/1664 W1       1664 W1                
     901142     1665    C/1665 F1       1665 F1                
     901143     1668    C/1668 E1       1668 E1                
     901144     1672    C/1672 E1       1672 E1                
     901145     1677    C/1677 H1       1677 H1                
     901146     1680    C/1680 V1       1680 V1                
     901147     1683    C/1683 O1       1683 O1                
     901148     1684    C/1684 N1       1684 N1                
     901149     1686    C/1686 R1       1686 R1                
     901150     1689    C/1689 X1       1689 X1                
     901151     1695    C/1695 U1       1695 U1                
     901152     1698    C/1698 R1       1698 R1                
     901153     1699    C/1699 D1       1699 D1                
     901154     1701    C/1701 U1       1701 U1                
     901155     1702    C/1702 H1       1702 H1                
     901156     1706    C/1706 F1       1706 F1                
     901157     1707    C/1707 W1       1707 W1                
     901158     1718    C/1718 B1       1718 B1                
     901159     1723    C/1723 T1       1723 T1                
     901160     1729    C/1729 P1       1729 P1                
     901161     1733    C/1733 K1       1733 K1                
     901162     1737    C/1737 C1       1737 C1                
     901163     1739    C/1739 K1       1739 K1                
     901164     1742    C/1742 C1       1742 C1                
     901165     1743    C/1743 C1       1743 C1                
     901166     1743    C/1743 Q1       1743 Q1                
     901167     1744    C/1743 X1       1743 X1                
     901168     1747    C/1746 P1       1746 P1                
     901169     1748    C/1748 H1       1748 H1                
     901170     1748    C/1748 K1       1748 K1                
     901171     1750    C/1750 C1       1750 C1                
     901172     1757    C/1757 R1       1757 R1                
     901173     1758    C/1758 K1       1758 K1                
     901174     1759    C/1760 A1       Great comet            
     901175     1759    C/1760 B1       Messier                
     901176     1762    C/1762 K1       Klinkenberg            
     901177     1763    C/1763 S1       Messier                
     901178     1764    C/1764 A1       Messier                
     901179     1766    C/1766 E1       Messier                
     901180     1766    D/1766 G1       Helfenzrieder          
     901181     1769    C/1769 P1       Messier                
     901182     1770    D/1770 L1       Lexell                 
     901183     1770    C/1771 A1       Great comet            
     901184     1771    C/1771 G1       Messier                
     901185     1773    C/1773 T1       Messier                
     901186     1774    C/1774 P1       Montaigne              
     901187     1779    C/1779 A1       Bode                   
     901188     1780    C/1780 U1       Montaigne-Olbers       
     901189     1780    C/1780 U2       Messier                
     901190     1781    C/1781 M1       Mechain                
     901191     1781    C/1781 T1       Mechain                
     901192     1784    C/1783 X1       Great comet            
     901193     1785    C/1785 A1       Messier-Mechain        
     901194     1785    C/1785 E1       Mechain                
     901195     1786    C/1786 P1       Herschel               
     901196     1787    C/1787 G1       Mechain                
     901197     1788    C/1788 W1       Messier                
     901198     1790    C/1790 A1       Herschel               
     901199     1790    C/1790 H1       Herschel               
     901200     1792    C/1791 X1       Herschel               
     901201     1792    C/1793 A1       Gregory                
     901202     1793    C/1793 S1       Perny                  
     901203     1793    C/1793 S2       Messier                
     901204     1796    C/1796 F1       Olbers                 
     901205     1797    C/1797 P1       Bouvard-Herschel       
     901206     1798    C/1798 G1       Messier                
     901207     1799    C/1798 X1       Bouvard                
     901208     1799    C/1799 P1       Mechain                
     901209     1799    C/1799 Y1       Mechain                
     901210     1801    C/1801 N1       Pons                   
     901211     1802    C/1802 Q1       Pons                   
     901212     1804    C/1804 E1       Pons                   
     901213     1806    C/1806 V1       Pons                   
     901214     1807    C/1807 R1       Great comet            
     901215     1808    C/1808 F1       Pons                   
     901216     1808    C/1808 M1       Pons                   
     901217     1810    C/1810 Q1       Pons                   
     901218     1811    C/1811 F1       Great comet            
     901219     1811    C/1811 W1       Pons                   
     901220     1813    C/1813 C1       Pons                   
     901221     1813    C/1813 G1       Pons                   
     901222     1816    C/1816 B1       Pons                   
     901223     1818    C/1817 Y1       Pons                   
     901224     1818    C/1818 W2       Pons                   
     901225     1819    C/1819 N1       Great comet            
     901226     1819    D/1819 W1       Blanpain               
     901227     1821    C/1821 B1       Nicollet-Pons          
     901228     1822    C/1822 J1       Gambart                
     901229     1822    C/1822 K1       Pons                   
     901230     1822    C/1822 N1       Pons                   
     901231     1824    C/1823 Y1       Great comet            
     901232     1824    C/1824 N1       Rumker                 
     901233     1824    C/1824 O1       Scheithauer            
     901234     1825    C/1825 K1       Gambart                
     901235     1825    C/1825 N1       Pons                   
     901236     1825    C/1825 P1       Pons                   
     901237     1826    C/1825 V1       Pons                   
     901238     1826    C/1826 P1       Pons                   
     901239     1826    C/1826 U1       Pons                   
     901240     1827    C/1826 Y1       Pons                   
     901241     1827    C/1827 M1       Pons-Gambart           
     901242     1827    C/1827 P1       Pons                   
     901243     1830    C/1830 F1       Great comet            
     901244     1830    C/1831 A1       Great comet            
     901245     1832    C/1832 O1       Gambart                
     901246     1833    C/1833 S1       Dunlop                 
     901247     1834    C/1834 E1       Gambart                
     901248     1835    C/1835 H1       Boguslawski            
     901249     1840    C/1839 X1       Galle                  
     901250     1840    C/1840 B1       Galle                  
     901251     1840    C/1840 E1       Galle                  
     901252     1840    C/1840 U1       Bremiker               
     901253     1842    C/1842 U1       Laugier                
     901254     1843    C/1843 D1       Great March comet      
     901255     1843    C/1843 J1       Mauvais                
     901256     1844    C/1844 N1       Mauvais                
     901257     1844    C/1844 Y1       Great comet            
     901258     1845    C/1844 Y2       d'Arrest               
     901259     1845    C/1845 D1       de Vico                
     901260     1845    C/1845 L1       Great June comet       
     901261     1846    C/1846 B1       de Vico                
     901262     1846    C/1846 J1       Brorsen                
     901263     1846    C/1846 O1       de Vico-Hind           
     901264     1846    C/1846 S1       de Vico                
     901265     1847    C/1847 C1       Hind                   
     901266     1847    C/1847 J1       Colla                  
     901267     1847    C/1847 N1       Mauvais                
     901268     1847    C/1847 Q1       Schweizer              
     901269     1847    C/1847 T1       Mitchell               
     901270     1848    C/1848 P1       Petersen               
     901271     1849    C/1848 U1       Petersen               
     901272     1849    C/1849 G1       Schweizer              
     901273     1849    C/1849 G2       Goujon                 
     901274     1850    C/1850 J1       Petersen               
     901275     1850    C/1850 Q1       Bond                   
     901276     1851    C/1851 P1       Brorsen                
     901277     1851    C/1851 U1       Brorsen                
     901278     1852    C/1852 K1       Chacornac              
     901279     1853    C/1853 E1       Secchi                 
     901280     1853    C/1853 G1       Schweizer              
     901281     1853    C/1853 L1       Klinkerfues            
     901282     1853    C/1853 R1       Bruhns                 
     901283     1854    C/1853 W1       van Arsdale            
     901284     1854    C/1854 F1       Great comet            
     901285     1854    C/1854 L1       Klinkerfues            
     901286     1854    C/1854 R1       Klinkerfues            
     901287     1854    C/1854 Y1       Winnecke-Dien          
     901288     1855    C/1855 G1       Schweizer              
     901289     1855    C/1855 L1       Donati                 
     901290     1855    C/1855 V1       Bruhns                 
     901291     1857    C/1857 D1       d'Arrest               
     901292     1857    C/1857 M1       Klinkerfues            
     901293     1857    C/1857 O1       Peters                 
     901294     1857    C/1857 Q1       Klinkerfues            
     901295     1857    C/1857 V1       Donati-van Arsdale     
     901296     1858    C/1858 K1       Bruhns                 
     901297     1858    C/1858 L1       Donati                 
     901298     1858    C/1858 R1       Tuttle                 
     901299     1859    C/1859 G1       Tempel                 
     901300     1860    C/1860 D1-A     Liais                  
     901301     1860    C/1860 D1-B     Liais                  
     901302     1860    C/1860 H1       Rumker                 
     901303     1860    C/1860 M1       Great comet            
     901304     1860    C/1860 U1       Tempel                 
     901305     1861    C/1861 G1       Thatcher               
     901306     1861    C/1861 J1       Great comet            
     901307     1861    C/1861 Y1       Tuttle                 
     901308     1862    C/1862 N1       Schmidt                
     901309     1862    C/1862 W1       Respighi               
     901310     1863    C/1862 X1       Bruhns                 
     901311     1863    C/1863 G1       Klinkerfues            
     901312     1863    C/1863 G2       Respighi               
     901313     1864    C/1863 T1       Baeker                 
     901314     1863    C/1863 V1       Tempel                 
     901315     1864    C/1863 Y1       Respighi               
     901316     1864    C/1864 N1       Tempel                 
     901317     1864    C/1864 O1       Donati-Toussaint       
     901318     1864    C/1864 R1       Donati                 
     901319     1864    C/1864 X1       Baeker                 
     901320     1865    C/1864 Y1       Bruhns                 
     901321     1865    C/1865 B1       Great southern comet   
     901322     1867    C/1867 S1       Baeker-Winnecke        
     901323     1868    C/1868 L1       Winnecke               
     901324     1869    C/1869 T1       Tempel                 
     901325     1870    C/1870 K1       Winnecke               
     901326     1870    C/1870 Q1       Coggia                 
     901327     1870    C/1870 W1       Winnecke               
     901328     1871    C/1871 G1       Winnecke               
     901329     1871    C/1871 L1       Tempel                 
     901330     1872    C/1871 V1       Tempel                 
     901331     1873    C/1873 Q1       Borrelly               
     901332     1873    C/1873 Q2       Henry                  
     901333     1874    C/1874 D1       Winnecke               
     901334     1874    C/1874 G1       Winnecke               
     901335     1874    C/1874 H1       Coggia                 
     901336     1874    C/1874 O1       Borrelly               
     901337     1874    C/1874 Q1       Coggia                 
     901338     1874    C/1874 X1       Borrelly               
     901339     1877    C/1877 C1       Borrelly               
     901340     1877    C/1877 G1       Winnecke               
     901341     1877    C/1877 G2       Swift                  
     901342     1877    C/1877 R1       Coggia                 
     901343     1877    C/1877 T1       Tempel                 
     901344     1878    C/1878 N1       Swift                  
     901345     1879    C/1879 M1       Swift                  
     901346     1879    C/1879 Q1       Palisa                 
     901347     1879    C/1879 Q2       Hartwig                
     901348     1880    C/1880 C1       Great southern comet   
     901349     1880    C/1880 G1       Schaeberle             
     901350     1880    C/1880 S1       Hartwig                
     901351     1881    C/1880 Y1       Pechule                
     901352     1881    C/1881 J1       Swift                  
     901353     1881    C/1881 K1       Great comet            
     901354     1881    C/1881 N1       Schaeberle             
     901355     1881    C/1881 S1       Barnard                
     901356     1881    C/1881 W1       Swift                  
     901357     1882    C/1882 F1       Wells                  
     901358     1882    C/1882 R1-A     Great September comet  
     901359     1882    C/1882 R1-B     Great September comet  
     901360     1882    C/1882 R1-C     Great September comet  
     901361     1882    C/1882 R1-D     Great September comet  
     901362     1882    C/1882 R2       Barnard                
     901363     1883    C/1883 D1       Brooks-Swift           
     901364     1883    C/1884 A1       Ross                   
     901365     1884    D/1884 O1       Barnard                
     901366     1885    C/1885 N1       Barnard                
     901367     1885    C/1885 R1       Brooks                 
     901368     1886    C/1885 X1       Fabry                  
     901369     1886    C/1885 X2       Barnard                
     901370     1885    C/1885 Y1       Brooks                 
     901371     1886    C/1886 H1       Brooks                 
     901372     1886    C/1886 J1       Brooks                 
     901373     1886    D/1886 K1       Brooks                 
     901374     1886    C/1886 T1       Barnard-Hartwig        
     901375     1887    C/1887 B1       Great southern comet   
     901376     1887    C/1887 B2       Brooks                 
     901377     1887    C/1887 B3       Barnard                
     901378     1887    C/1887 D1       Barnard                
     901379     1887    C/1887 J1       Barnard                
     901380     1888    C/1888 D1       Sawerthal              
     901381     1888    C/1888 P1       Brooks                 
     901382     1889    C/1888 R1       Barnard                
     901383     1888    C/1888 U1       Barnard                
     901384     1889    C/1889 G1       Barnard                
     901385     1889    C/1889 O1       Davidson               
     901386     1890    C/1889 X1       Borrelly               
     901387     1890    C/1890 F1       Brooks                 
     901388     1890    C/1890 O1       Coggia                 
     901389     1890    C/1890 O2       Denning                
     901390     1890    C/1890 V1       Zona                   
     901391     1891    C/1891 F1       Barnard-Denning        
     901392     1891    C/1891 T1       Barnard                
     901393     1892    C/1892 E1       Swift                  
     901394     1892    C/1892 F1       Denning                
     901395     1893    C/1892 Q1       Brooks                 
     901396     1893    C/1892 W1       Brooks                 
     901397     1893    C/1893 N1       Rordame-Quenisset      
     901398     1893    C/1893 U1       Brooks                 
     901399     1894    D/1894 F1       Denning                
     901400     1894    C/1894 G1       Gale                   
     901401     1895    D/1895 Q1       Swift                  
     901402     1896    C/1895 W1       Perrine                
     901403     1895    C/1895 W2       Brooks                 
     901404     1896    C/1896 C1       Perrine-Lamp           
     901405     1896    C/1896 G1       Swift                  
     901406     1896    C/1896 R1       Sperra                 
     901407     1897    C/1896 V1       Perrine                
     901408     1897    C/1897 U1       Perrine                
     901409     1898    C/1898 F1       Perrine                
     901410     1898    C/1898 L1       Coddington-Pauly       
     901411     1898    C/1898 L2       Perrine                
     901412     1898    C/1898 M1       Giacobini              
     901413     1898    C/1898 R1       Perrine-Chofardet      
     901414     1898    C/1898 U1       Brooks                 
     901415     1898    C/1898 V1       Chase                  
     901416     1899    C/1899 E1       Swift                  
     901417     1899    C/1899 S1       Giacobini              
     901418     1900    C/1900 B1       Giacobini              
     901419     1900    C/1900 O1       Borrelly-Brooks        
     901420     1901    C/1901 G1       Great comet            
     901421     1902    C/1902 G1       Brooks                 
     901422     1902    C/1902 R1       Perrine                
     901423     1903    C/1902 X1       Giacobini              
     901424     1903    C/1903 A1       Giacobini              
     901425     1903    C/1903 H1       Grigg                  
     901426     1903    C/1903 M1       Borrelly               
     901427     1904    C/1904 H1       Brooks                 
     901428     1904    C/1904 Y1       Giacobini              
     901429     1905    C/1905 F1       Giacobini              
     901430     1905    C/1905 W1       Schaer                 
     901431     1906    C/1905 X1       Giacobini              
     901432     1906    C/1906 B1       Brooks                 
     901433     1906    C/1906 E1       Kopff                  
     901434     1906    C/1906 F1       Ross                   
     901435     1906    C/1906 V1       Thiele                 
     901436     1907    C/1907 E1       Giacobini              
     901437     1907    C/1907 G1       Grigg-Mellish          
     901438     1907    C/1907 L2       Daniel                 
     901439     1907    C/1907 T1       Mellish                
     901440     1908    C/1908 R1       Morehouse              
     901441     1909    C/1909 L1       Borrelly-Daniel        
     901442     1910    C/1910 A1       Great January comet    
     901443     1910    C/1910 P1       Metcalf                
     901444     1911    C/1911 N1       Kiess                  
     901445     1911    C/1911 O1       Brooks                 
     901446     1911    C/1911 S2       Quenisset              
     901447     1911    C/1911 S3       Beljawsky              
     901448     1912    C/1912 R1       Gale                   
     901449     1912    C/1912 V1       Borrelly               
     901450     1913    C/1913 J1       Schaumasse             
     901451     1913    C/1913 R1       Metcalf                
     901452     1914    C/1913 Y1       Delavan                
     901453     1914    C/1914 F1       Kritzinger             
     901454     1914    C/1914 J1       Zlatinsky              
     901455     1914    C/1914 M1       Neujmin                
     901456     1914    C/1914 S1       Campbell               
     901457     1915    C/1915 C1       Mellish                
     901458     1915    C/1915 R1       Mellish                
     901459     1917    C/1916 G1       Wolf                   
     901460     1917    C/1917 F1       Mellish                
     901461     1917    C/1917 H1       Schaumasse             
     901462     1918    C/1918 L1       Reid                   
     901463     1918    D/1918 W1       Schorr                 
     901464     1919    C/1919 Q2       Metcalf                
     901465     1920    C/1919 Y1       Skjellerup             
     901466     1920    C/1920 X1       Skjellerup             
     901467     1921    C/1921 E1       Reid                   
     901468     1921    C/1921 H1       Dubiago                
     901469     1921    C/1922 B1       Reid                   
     901470     1922    C/1922 U1       Baade                  
     901471     1923    C/1922 W1       Skjellerup             
     901472     1923    C/1923 T1       Dubiago-Bernard        
     901473     1924    C/1924 F1       Reid                   
     901474     1924    C/1924 R1       Finsler                
     901475     1925    C/1925 F1       Shajn-Comas Sola       
     901476     1925    C/1925 F2       Reid                   
     901477     1925    C/1925 G1       Orkisz                 
     901478     1925    C/1925 V1       Wilk-Peltier           
     901479     1925    C/1925 W1       Van Biesbroeck         
     901480     1926    C/1925 X1       Ensor                  
     901481     1926    C/1926 B1       Blathwayt              
     901482     1927    C/1927 A1       Blathwayt              
     901483     1926    C/1927 B1       Reid                   
     901484     1927    C/1927 E1       Stearns                
     901485     1927    C/1927 X1       Skjellerup-Maristany   
     901486     1930    C/1929 Y1       Wilk                   
     901487     1930    C/1930 D1       Peltier-Schwassmann-Wac
     901488     1930    C/1930 E1       Beyer                  
     901489     1930    C/1930 F1       Wilk                   
     901490     1930    C/1930 L1       Forbes                 
     901491     1931    C/1931 AN       1931 AN                
     901492     1931    C/1931 O1       Nagata                 
     901493     1931    C/1931 P1       Ryves                  
     901494     1932    C/1932 G1       Houghton-Ensor         
     901495     1931    C/1932 H1       Carrasco               
     901496     1932    C/1932 M1       Newman                 
     901497     1932    C/1932 M2       Geddes                 
     901498     1932    C/1932 P1       Peltier-Whipple        
     901499     1933    C/1932 Y1       Dodwell-Forbes         
     901500     1933    C/1933 D1       Peltier                
     901501     1935    C/1935 A1       Johnson                
     901502     1934    C/1935 M1       Jackson                
     901503     1936    C/1935 Q1       Van Biesbroeck         
     901504     1936    C/1936 K1       Peltier                
     901505     1936    C/1936 O1       Kaho-Kozik-Lis         
     901506     1937    C/1937 C1       Whipple                
     901507     1937    C/1937 D1       Wilk                   
     901508     1937    C/1937 N1       Finsler                
     901509     1936    C/1937 P1       Hubble                 
     901510     1939    C/1939 B1       Kozik-Peltier          
     901511     1939    C/1939 H1       Jurlof-Achmarof-Hassel 
     901512     1939    C/1939 V1       Friend                 
     901513     1940    C/1940 O1       Whipple-Paraskevopoulos
     901514     1941    C/1940 R2       Cunningham             
     901515     1940    C/1940 S1       Okabayasi-Honda        
     901516     1941    C/1941 B1       Friend-Reese-Honda     
     901517     1941    C/1941 B2       de Kock-Paraskevopoulos
     901518     1941    C/1941 K1       van Gent               
     901519     1942    C/1942 C1       Whipple-Bernasconi-Kuli
     901520     1942    C/1942 C2       Oterma                 
     901521     1942    C/1942 EA       Vaisala                
     901522     1943    C/1942 X1       Whipple-Fedtke-Tevzadze
     901523     1943    C/1943 R1       Daimaca                
     901524     1944    C/1943 W1       van Gent-Peltier-Daimac
     901525     1944    C/1944 H1       Vaisala                
     901526     1944    C/1944 K2       van Gent               
     901527     1945    C/1945 L1       du Toit                
     901528     1945    C/1945 W1       Friend-Peltier         
     901529     1945    C/1945 X1       du Toit                
     901530     1946    C/1946 C1       Timmers                
     901531     1946    C/1946 K1       Pajdusakova-Rotbart-Web
     901532     1946    C/1946 P1       Jones                  
     901533     1947    C/1946 U1       Bester                 
     901534     1947    C/1947 F1       Rondanina-Bester       
     901535     1947    C/1947 F2       Becvar                 
     901536     1947    C/1947 K1       Bester                 
     901537     1947    C/1947 O1       Wirtanen               
     901538     1948    C/1947 S1       Bester                 
     901539     1947    C/1947 V1       Honda                  
     901540     1947    C/1947 X1-A     Southern comet         
     901541     1947    C/1947 X1-B     Southern comet         
     901542     1948    C/1947 Y1       Mrkos                  
     901543     1948    C/1948 E1       Pajdusakova-Mrkos      
     901544     1948    C/1948 L1       Honda-Bernasconi       
     901545     1949    C/1948 N1       Wirtanen               
     901546     1948    C/1948 R1       Johnson                
     901547     1947    C/1948 T1       Wirtanen               
     901548     1948    C/1948 V1       Eclipse comet          
     901549     1948    C/1948 W1       Bester                 
     901550     1950    C/1949 K1       Johnson                
     901551     1949    C/1949 N1       Bappu-Bok-Newkirk      
     901552     1951    C/1950 K1       Minkowski              
     901553     1951    C/1951 C1       Pajdusakova            
     901554     1952    C/1951 P1       Wilson-Harrington      
     901555     1952    D/1952 B1       Harrington-Wilson      
     901556     1952    C/1952 H1       Mrkos                  
     901557     1952    C/1952 M1       Peltier                
     901558     1953    C/1952 Q1       Harrington             
     901559     1953    C/1952 W1       Mrkos                  
     901560     1953    C/1953 G1       Mrkos-Honda            
     901561     1954    C/1953 T1       Abell                  
     901562     1954    C/1953 X1       Pajdusakova            
     901563     1954    C/1954 M1       Harrington             
     901564     1954    C/1954 M2       Kresak-Peltier         
     901565     1954    C/1954 O1       Vozarova               
     901566     1955    C/1954 O2       Baade                  
     901567     1956    C/1954 Y1       Haro-Chavira           
     901568     1954    C/1955 G1       Abell                  
     901569     1955    C/1955 L1       Mrkos                  
     901570     1955    C/1955 N1       Bakharev-Macfarlane-Kri
     901571     1955    C/1955 O1       Honda                  
     901572     1956    C/1956 E1       Mrkos                  
     901573     1957    C/1956 F1-A     Wirtanen               
     901574     1957    C/1956 R1       Arend-Roland           
     901575     1957    C/1957 P1       Mrkos                  
     901576     1957    C/1957 U1       Latyshev-Wild-Burnham  
     901577     1958    C/1958 D1       Burnham                
     901578     1959    C/1958 R1       Burnham-Slaughter      
     901579     1959    C/1959 O1       Bester-Hoffmeister     
     901580     1959    C/1959 Q1       Alcock                 
     901581     1959    C/1959 Q2       Alcock                 
     901582     1959    C/1959 X1       Mrkos                  
     901583     1960    C/1959 Y1       Burnham                
     901584     1959    C/1960 B1       Burnham                
     901585     1959    C/1960 M1       Humason                
     901586     1960    D/1960 S1       van Houten             
     901587     1961    C/1960 Y1       Candy                  
     901588     1961    C/1961 O1       Wilson-Hubbard         
     901589     1962    C/1961 R1       Humason                
     901590     1961    C/1961 T1       Seki                   
     901591     1962    C/1962 C1       Seki-Lines             
     901592     1962    C/1962 H1       Honda                  
     901593     1963    C/1963 A1       Ikeya                  
     901594     1963    C/1963 F1       Alcock                 
     901595     1963    C/1963 R1       Pereyra                
     901596     1964    C/1964 L1       Tomita-Gerber-Honda    
     901597     1964    C/1964 N1       Ikeya                  
     901598     1964    C/1964 P1       Everhart               
     901599     1965    C/1965 S1-A     Ikeya-Seki             
     901600     1965    C/1965 S1-B     Ikeya-Seki             
     901601     1965    C/1965 S2       Alcock                 
     901602     1966    C/1966 P1       Kilston                
     901603     1966    C/1966 P2       Barbon                 
     901604     1966    C/1966 R1       Ikeya-Everhart         
     901605     1967    C/1966 T1       Rudnicki               
     901606     1967    C/1967 C1       Seki                   
     901607     1967    C/1967 C2       Wild                   
     901608     1967    C/1967 M1       Mitchell-Jones-Gerber  
     901609     1968    C/1967 Y1       Ikeya-Seki             
     901610     1968    C/1968 H1       Tago-Honda-Yamamoto    
     901611     1968    C/1968 L1       Whitaker-Thomas        
     901612     1968    C/1968 N1       Honda                  
     901613     1968    C/1968 Q1       Bally-Clayton          
     901614     1968    C/1968 Q2       Honda                  
     901615     1968    C/1968 U1       Wild                   
     901616     1969    C/1968 Y1       Thomas                 
     901617     1970    C/1969 O1-A     Kohoutek               
     901618     1969    C/1969 P1       Fujikawa               
     901619     1970    C/1969 T1       Tago-Sato-Kosaka       
     901620     1970    C/1969 Y1       Bennett                
     901621     1970    C/1970 B1       Daido-Fujikawa         
     901622     1970    C/1970 K1       White-Ortiz-Bolelli    
     901623     1970    C/1970 N1       Abe                    
